run,data_stream,timestamp,version,check,raw:count,raw:total_size_gb,raw:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,full-reconstructed:check,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,root-tuple-virtual:check
28164,calibration,20240726T120751Z,unknown,,8,9.104,1.138,,,,,,,,,,,
28165,calibration,20240726T121228Z,unknown,,8,27.316,3.4145,,,,,,,,,,,
28166,calibration,20240726T121709Z,unknown,,8,27.296,3.412,,,,,,,,,,,
28167,calibration,20240726T122148Z,unknown,,8,18.172,2.2715,,,,,,,,,,,
28168,calibration,20240726T122633Z,unknown,,8,27.294,3.41175,,,,,,,,,,,
28169,calibration,20240726T123112Z,unknown,,8,27.307,3.413375,,,,,,,,,,,
28170,calibration,20240726T123655Z,unknown,,8,9.107,1.138375,,,,,,,,,,,
28171,calibration,20240726T124133Z,unknown,,8,9.064,1.133,,,,,,,,,,,
28172,calibration,20240726T124610Z,unknown,,8,9.127,1.140875,,,,,,,,,,,
28173,calibration,20240726T125051Z,unknown,,8,9.015,1.126875,,,,,,,,,,,
28174,calibration,20240726T125525Z,unknown,,8,9.06,1.1325,,,,,,,,,,,
28175,calibration,20240726T125958Z,unknown,,8,9.083,1.135375,,,,,,,,,,,
28176,calibration,20240726T130436Z,unknown,,8,27.336,3.417,,,,,,,,,,,
28178,cosmics,20240726T131235Z,unknown,,,,,35,148.562,4.244628,,,,,,,,
28179,calibration,20240726T131609Z,unknown,,8,27.345,3.418125,,,,,,,,,,,
28180,calibration,20240726T132048Z,unknown,,8,27.242,3.40525,,,,,,,,,,,
28181,calibration,20240726T132527Z,unknown,,8,27.258,3.40725,,,,,,,,,,,
28182,cosmics,20240726T133735Z,unknown,,,,,11,45.18,4.107272,,,,,,,,
28183,calibration,20240726T134045Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28184,cosmics,20240726T135037Z,unknown,,,,,7,28.954,4.136285,,,,,,,,
28185,cosmics,20240726T135926Z,unknown,,,,,14,57.38,4.098571,,,,,,,,
28186,calibration,20240726T140306Z,unknown,,1,0.91,0.91,,,,,,,,,,,
28187,calibration,20240726T141245Z,unknown,,1,1.091,1.091,,,,,,,,,,,
28188,calibration,20240726T141816Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28189,calibration,20240726T142802Z,unknown,,1,1.091,1.091,,,,,,,,,,,
28190,cosmics,20240726T143129Z,unknown,,,,,6,24.665,4.1108329999999995,,,,,,,,
28191,calibration,20240726T143334Z,unknown,,1,1.091,1.091,,,,,,,,,,,
28192,cosmics,20240726T143658Z,unknown,,,,,4,15.115,3.77875,,,,,,,,
28193,calibration,20240726T143903Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28194,cosmics,20240726T144313Z,unknown,,,,,15,59.828,3.988533,,,,,,,,
28195,calibration,20240726T144433Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28196,calibration,20240726T145140Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28197,calibration,20240726T145710Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28198,calibration,20240726T150240Z,unknown,,1,1.092,1.092,,,,,,,,,,,
28199,cosmics,20240726T150326Z,v09_91_02d01,,24,100.197,4.174875,37,156.1,4.2189179999999995,24,10.498,0.43741599999999997,0,24,0.942,0.03925,0
28200,calibration,20240726T150811Z,unknown,,1,1.091,1.091,,,,,,,,,,,
28201,cosmics,20240726T160314Z,v09_91_02d01,,1414,6005.122,4.2469030000000005,1482,6291.839,4.2455050000000005,1413,876.204,0.620101,-1,1413,19.659,0.013912,-1
28202,cosmics,20240727T082207Z,v09_91_02d01,,360,1528.103,4.24473,388,1643.952,4.2369889999999995,360,234.798,0.652216,0,360,6.815,0.01893,0
28203,cosmics,20240727T120453Z,unknown,,,,,2,4.712,2.356,,,,,,,,
28204,cosmics,20240728T024105Z,v09_91_02d01,,2006,8533.711,4.254093,2340,9931.362,4.244171000000001,2002,1462.137,0.7303379999999999,-4,2002,63.944,0.03194,-4
28205,cosmics,20240728T060246Z,v09_91_02d01,,2,3.385,1.6925,7,25.997,3.713857,2,0.532,0.266,0,2,0.013,0.0065,0
28206,cosmics,20240728T061603Z,v09_91_02d01,,2944,12520.34,4.252832000000001,3115,13104.587,4.206930000000001,2941,2062.855,0.701412,-3,2941,83.996,0.02856,-3
28208,cosmics,20240729T075901Z,v09_91_02d01,,6,22.598,3.766333,8,32.948,4.1185,6,3.352,0.5586660000000001,0,6,0.153,0.0255,0
28209,cosmics,20240729T081514Z,v09_91_02d01,,13,53.309,4.1006920000000004,,,,13,22.483,1.729461,0,13,0.0,0.0,0
28210,cosmics,20240729T083603Z,v09_91_02d01,,183,754.473,4.122803,,,,183,125.158,0.683923,0,183,5.15,0.028142,0
28211,cosmics,20240729T084053Z,v09_91_02d01,,24,87.277,3.6365410000000002,,,,24,14.439,0.601625,0,24,0.57,0.023749,0
28212,cosmics,20240729T084505Z,v09_91_02d01,,128,530.305,4.143007,,,,128,87.905,0.686757,0,128,3.082,0.024078,0
28213,cosmics,20240729T085009Z,v09_91_02d01,,378,1583.335,4.188716,,,,378,263.539,0.697193,0,378,6.838,0.018088999999999997,0
28215,cosmics,20240729T090359Z,v09_91_02d01,,120,496.484,4.137366,,,,118,82.939,0.7028719999999999,-2,118,2.594,0.021983,-2
28216,cosmics,20240729T090801Z,v09_91_02d01,,120,486.36,4.053,,,,120,85.112,0.709266,0,120,2.369,0.019740999999999998,0
28217,cosmics,20240729T091502Z,v09_91_02d01,,379,1590.237,4.195875,,,,379,274.734,0.724891,0,379,3.067,0.008092,0
28218,cosmics,20240729T092658Z,v09_91_02d01,,120,503.153,4.192940999999999,,,,120,66.06,0.5505,0,120,0.019,0.000158,0
28219,cosmics,20240729T093151Z,v09_91_02d01,,182,749.875,4.120192,,,,182,74.123,0.407269,0,182,0.009,4.9000000000000005e-05,0
28220,cosmics,20240729T094302Z,v09_91_02d01,,389,1640.357,4.216856,,,,389,163.638,0.420663,0,389,0.023,5.9e-05,0
28222,cosmics,20240729T101032Z,v09_91_02d01,,6,22.827,3.8045,,,,6,0.089,0.014833,0,6,0.0,0.0,0
28223,cosmics,20240729T105208Z,v09_91_02d01,,10,38.537,3.8537,,,,10,0.149,0.0149,0,10,0.0,0.0,0
28224,cosmics,20240729T111029Z,v09_91_02d01,,74,310.949,4.202013,,,,74,0.309,0.004175,0,74,0.003,4e-05,0
28225,cosmics,20240729T115923Z,v09_91_02d01,,8,27.755,3.469375,,,,8,0.024,0.003,0,8,0.0,0.0,0
28228,cosmics,20240729T122644Z,v09_91_02d01,,10,35.206,3.5206,,,,10,0.03,0.003,0,10,0.0,0.0,0
28230,calibration,20240729T131411Z,unknown,,8,24.02,3.0025,,,,,,,,,,,
28231,calibration,20240729T131656Z,unknown,,8,24.126,3.01575,,,,,,,,,,,
28232,calibration,20240729T131939Z,unknown,,8,24.0,3.0,,,,,,,,,,,
28233,calibration,20240729T132221Z,unknown,,8,24.014,3.00175,,,,,,,,,,,
28234,calibration,20240729T132503Z,unknown,,8,24.001,3.000125,,,,,,,,,,,
28235,calibration,20240729T132747Z,unknown,,8,24.017,3.002125,,,,,,,,,,,
28236,calibration,20240729T133026Z,unknown,,8,24.111,3.013875,,,,,,,,,,,
28237,calibration,20240729T133313Z,unknown,,8,24.015,3.001875,,,,,,,,,,,
28238,calibration,20240729T133555Z,unknown,,8,24.208,3.026,,,,,,,,,,,
28239,calibration,20240729T133838Z,unknown,,8,24.122,3.01525,,,,,,,,,,,
28240,calibration,20240729T134119Z,unknown,,8,24.11,3.01375,,,,,,,,,,,
28241,calibration,20240729T134404Z,unknown,,8,24.128,3.016,,,,,,,,,,,
28242,calibration,20240729T134648Z,unknown,,8,24.115,3.014375,,,,,,,,,,,
28243,calibration,20240729T134929Z,unknown,,8,24.028,3.0035,,,,,,,,,,,
28244,calibration,20240729T135212Z,unknown,,8,24.129,3.016125,,,,,,,,,,,
28245,calibration,20240729T135459Z,unknown,,8,24.013,3.001625,,,,,,,,,,,
28246,calibration,20240729T135743Z,unknown,,8,24.002,3.00025,,,,,,,,,,,
28247,calibration,20240729T140025Z,unknown,,8,24.119,3.014875,,,,,,,,,,,
28249,calibration,20240729T142207Z,unknown,,8,24.132,3.0165,,,,,,,,,,,
28250,calibration,20240729T143135Z,unknown,,8,24.033,3.004125,,,,,,,,,,,
28251,calibration,20240729T143417Z,unknown,,8,24.006,3.00075,,,,,,,,,,,
28252,calibration,20240729T143702Z,unknown,,8,24.114,3.01425,,,,,,,,,,,
28253,calibration,20240729T143945Z,unknown,,8,24.126,3.01575,,,,,,,,,,,
28254,calibration,20240729T144230Z,unknown,,8,24.017,3.002125,,,,,,,,,,,
28255,calibration,20240729T144514Z,unknown,,8,24.027,3.003375,,,,,,,,,,,
28256,calibration,20240729T144757Z,unknown,,8,24.008,3.001,,,,,,,,,,,
28257,calibration,20240729T145040Z,unknown,,8,24.008,3.001,,,,,,,,,,,
28258,calibration,20240729T145322Z,unknown,,8,24.125,3.015625,,,,,,,,,,,
28259,calibration,20240729T145602Z,unknown,,8,24.122,3.01525,,,,,,,,,,,
28260,calibration,20240729T145841Z,unknown,,8,24.024,3.003,,,,,,,,,,,
28261,calibration,20240729T150122Z,unknown,,8,24.128,3.016,,,,,,,,,,,
28262,calibration,20240729T150404Z,unknown,,8,24.025,3.003125,,,,,,,,,,,
28263,calibration,20240729T150646Z,unknown,,8,23.905,2.988125,,,,,,,,,,,
28264,calibration,20240729T150932Z,unknown,,8,24.097,3.012125,,,,,,,,,,,
28265,calibration,20240729T151214Z,unknown,,8,24.023,3.002875,,,,,,,,,,,
28266,calibration,20240729T151500Z,unknown,,8,24.123,3.015375,,,,,,,,,,,
28267,calibration,20240729T151741Z,unknown,,8,24.12,3.015,,,,,,,,,,,
28268,calibration,20240729T152021Z,unknown,,8,24.017,3.002125,,,,,,,,,,,
28269,cosmics,20240729T152221Z,v09_91_02d01,,6,23.193,3.8655,,,,6,9.985,1.664166,0,6,0.0,0.0,0
28270,calibration,20240729T152306Z,unknown,,8,24.115,3.014375,,,,,,,,,,,
28271,calibration,20240729T152550Z,unknown,,8,24.127,3.015875,,,,,,,,,,,
28272,cosmics,20240729T152744Z,v09_91_02d01,,6,23.355,3.8925,,,,6,10.055,1.6758330000000001,0,6,0.0,0.0,0
28273,calibration,20240729T152834Z,unknown,,8,24.122,3.01525,,,,,,,,,,,
28274,calibration,20240729T153114Z,unknown,,8,24.128,3.016,,,,,,,,,,,
28275,cosmics,20240729T153310Z,v09_91_02d01,,6,23.51,3.918333,,,,6,10.128,1.688,0,6,0.0,0.0,0
28276,calibration,20240729T153353Z,unknown,,8,24.013,3.001625,,,,,,,,,,,
28277,calibration,20240729T153634Z,unknown,,8,24.003,3.000375,,,,,,,,,,,
28278,cosmics,20240729T153800Z,v09_91_02d01,,6,23.576,3.929333,,,,6,10.162,1.693666,0,6,0.0,0.0,0
28279,calibration,20240729T153917Z,unknown,,8,24.106,3.01325,,,,,,,,,,,
28280,calibration,20240729T154156Z,unknown,,8,24.016,3.002,,,,,,,,,,,
28281,cosmics,20240729T154423Z,v09_91_02d01,,6,23.554,3.925666,,,,6,10.146,1.691,0,6,0.0,0.0,0
28282,calibration,20240729T154437Z,unknown,,8,24.015,3.001875,,,,,,,,,,,
28283,calibration,20240729T154718Z,unknown,,8,24.01,3.00125,,,,,,,,,,,
28284,cosmics,20240729T154937Z,v09_91_02d01,,6,23.714,3.952333,,,,6,10.229,1.704833,0,6,0.0,0.0,0
28285,calibration,20240729T155000Z,unknown,,8,24.11,3.01375,,,,,,,,,,,
28286,calibration,20240729T155245Z,unknown,,8,24.123,3.015375,,,,,,,,,,,
28287,cosmics,20240729T155544Z,v09_91_02d01,,6,23.851,3.975166,,,,6,10.298,1.716333,0,6,0.0,0.0,0
28288,calibration,20240729T155530Z,unknown,,8,24.107,3.013375,,,,,,,,,,,
28289,calibration,20240729T155811Z,unknown,,8,24.112,3.014,,,,,,,,,,,
28290,cosmics,20240729T160058Z,v09_91_02d01,,6,23.684,3.947333,,,,6,10.225,1.7041659999999998,0,6,0.0,0.0,0
28291,calibration,20240729T160051Z,unknown,,8,24.033,3.004125,,,,,,,,,,,
28292,calibration,20240729T160332Z,unknown,,8,24.108,3.0135,,,,,,,,,,,
28293,calibration,20240729T160617Z,unknown,,8,24.008,3.001,,,,,,,,,,,
28294,cosmics,20240729T160702Z,v09_91_02d01,,5,21.418,4.283599000000001,,,,5,9.254,1.8508,0,5,0.0,0.0,0
28295,calibration,20240729T160859Z,unknown,,8,24.117,3.014625,,,,,,,,,,,
28296,calibration,20240729T161141Z,unknown,,8,24.004,3.0005,,,,,,,,,,,
28297,calibration,20240729T161423Z,unknown,,8,24.02,3.0025,,,,,,,,,,,
28298,cosmics,20240729T161542Z,v09_91_02d01,,6,24.171,4.0285,,,,6,10.454,1.7423330000000001,0,6,0.0,0.0,0
28299,calibration,20240729T161705Z,unknown,,8,24.0,3.0,,,,,,,,,,,
28300,calibration,20240729T161947Z,unknown,,8,24.0,3.0,,,,,,,,,,,
28301,cosmics,20240729T162155Z,v09_91_02d01,,6,24.682,4.113666,,,,6,10.691,1.781833,0,6,0.0,0.0,0
28302,calibration,20240729T162231Z,unknown,,8,24.126,3.01575,,,,,,,,,,,
28303,calibration,20240729T162512Z,unknown,,8,24.122,3.01525,,,,,,,,,,,
28304,cosmics,20240729T162800Z,v09_91_02d01,,6,24.765,4.1275,,,,6,10.741,1.790166,0,6,0.0,0.0,0
28305,calibration,20240729T162757Z,unknown,,8,24.025,3.003125,,,,,,,,,,,
28306,calibration,20240729T163036Z,unknown,,8,23.528,2.941,,,,,,,,,,,
28307,calibration,20240729T163317Z,unknown,,8,24.014,3.00175,,,,,,,,,,,
28308,cosmics,20240729T163545Z,v09_91_02d01,,7,25.912,3.701714,,,,7,11.235,1.605,0,7,0.0,0.0,0
28309,calibration,20240729T163600Z,unknown,,8,24.115,3.014375,,,,,,,,,,,
28310,calibration,20240729T163844Z,unknown,,8,24.133,3.016625,,,,,,,,,,,
28311,cosmics,20240729T164214Z,v09_91_02d01,,7,26.638,3.805428,,,,7,11.535,1.647857,0,7,0.0,0.0,0
28312,calibration,20240729T164128Z,unknown,,8,24.013,3.001625,,,,,,,,,,,
28313,calibration,20240729T164412Z,unknown,,8,24.122,3.01525,,,,,,,,,,,
28314,calibration,20240729T164654Z,unknown,,8,24.022,3.00275,,,,,,,,,,,
28315,cosmics,20240729T164812Z,v09_91_02d01,,7,26.976,3.853714,,,,7,11.615,1.6592850000000001,0,7,0.0,0.0,0
28316,calibration,20240729T164936Z,unknown,,8,24.112,3.014,,,,,,,,,,,
28317,calibration,20240729T165218Z,unknown,,8,24.102,3.01275,,,,,,,,,,,
28318,cosmics,20240729T165522Z,v09_91_02d01,,7,26.916,3.8451419999999996,,,,7,11.469,1.6384280000000002,0,7,0.0,0.0,0
28319,calibration,20240729T165458Z,unknown,,8,24.134,3.01675,,,,,,,,,,,
28320,calibration,20240729T165741Z,unknown,,8,24.12,3.015,,,,,,,,,,,
